Index,Sales
0,
1,
2,
3,
4,2157.2
5,1707.4
6,1411.4
7,732.8
8,441.8
9,334.2
10,232.8
11,176.8
12,673.6
13,989
14,1546.6
15,1722.4
16,1807.8
17,1366.6
18,1117.2
19,693.2
20,520.8
21,453.6
22,346.6
23,254.6
24,652.4
25,891
26,1068.8
27,1422.6
28,1522
29,970.6
30,742.2
31,542.4
32,194.2
33,101.4
34,101.2
35,69.2
36,629.4
37,1031.2
38,1616.8
39,1850.8
40,1971
41,1491.2
42,1158.2
43,584.6
44,372.4
45,276.2
46,196.2
47,356
48,554
49,920.6
50,1294.6
51,1434.2
52,1369.6
53,1251.6
54,1001.4
55,622
56,516.4
57,358.8
58,279.2
59,731.6
60,1111
61,1352.6
62,1710.4
63,1888.2
64,1311.8
65,1032.4
66,754.6
67,396.84
68,214.64
69,212.84
70,156.64
71,322.84
72,497
73,643.6
74,813
75,893.4
76,829
77,632.6
78,480.2
79,300.6
80,160.2
81,224.6
82,564.8
83,873
84,998.6
85,1116
86,1011.4
87,732.8
88,441.8
89,334.2
90,232.8
91,176.8
92,673.6
93,989
94,1344.4
95,1597.6
96,1741.2
97,1257.8
98,1065.6
99,712.4
100,459.2
101,411.6
102,498.8
103,846.4
104,1250.6
105,1495
106,1602
107,1629
108,1321.8
109,1046
110,958.6
111,907.6
112,752.4
113,581.8
114,534
115,533.2
116,749.8
117,1509.8
118,1649.8
119,1639.8
120,1547.8
121,1197.8
122,503
123,356.2
124,293.4
125,231.4
126,194
127,273.2
128,409.8
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
