sr_n0,Date,Sales
91,Jun-98,237.4571429
92,Jul-98,141.1428571
93,Aug-98,249.2857143
94,Sep-98,361.4285714
95,Oct-98,999.2857143
96,Nov-98,2025.125
97,Dec-98,1503.5
98,Jan-99,2005.75
99,Feb-99,1071
100,Mar-99,526
101,Apr-99,385.375
102,May-99,351.7142857
103,Jun-99,237.4571429
104,Jul-99,141.1428571
105,Aug-99,249.2857143
106,Sep-99,361.4285714
107,Oct-99,999.2857143
108,Nov-99,2025.125
109,Dec-99,1503.5
110,Jan-00,2005.75
111,Feb-00,1071
112,Mar-00,526
113,Apr-00,385.375
114,May-00,351.7142857
115,Jun-00,237.4571429
116,Jul-00,141.1428571
117,Aug-00,249.2857143
118,Sep-00,361.4285714
119,Oct-00,999.2857143
120,Nov-00,2025.125
121,Dec-00,1503.5
122,Jan-01,2005.75
123,Feb-01,1071
124,Mar-01,526
125,Apr-01,385.375
126,May-01,351.7142857
127,Jun-01,237.4571429
